"awayScore","awayTeamId","homeScore","homeTeamId","isGameOfTheWeek","scheduleId","seasonIndex","stageIndex","status","weekIndex"
21,778043396,47,778043404,false,542769361,1,1,3,2
24,778043409,37,778043394,false,542769362,1,1,3,2
17,778043428,35,778043416,false,542769363,1,1,3,2
35,778043423,35,778043411,false,542769364,1,1,4,2
34,778043397,31,778043398,false,542769365,1,1,2,2
31,778043417,24,778043403,false,542769366,1,1,2,2
33,778043402,35,778043421,false,542769367,1,1,3,2
10,778043407,37,778043399,false,542769370,1,1,3,2
24,778043401,13,778043427,false,542769358,1,1,2,2
32,778043395,24,778043400,false,542769368,1,1,2,2
23,778043418,13,778043412,false,542769357,1,1,2,2
22,778043419,26,778043426,false,542769359,1,1,3,2
42,778043406,3,778043413,false,542769360,1,1,2,2
14,778043424,28,778043420,false,542769369,1,1,3,2
3,778043425,33,778043405,false,542769371,1,1,3,2
38,778043422,44,778043392,false,542769372,1,1,3,2
