"awayScore","awayTeamId","homeScore","homeTeamId","isGameOfTheWeek","scheduleId","seasonIndex","stageIndex","status","weekIndex"
11,778043392,20,778043418,false,542769447,1,0,3,1
24,778043401,13,778043395,false,542769452,1,0,2,1
21,778043402,24,778043405,false,542769449,1,0,3,1
0,778043419,10,778043425,false,542769441,1,0,3,1
26,778043407,30,778043421,false,542769444,1,0,3,1
30,778043424,27,778043417,false,542769448,1,0,2,1
21,778043423,27,778043426,false,542769437,1,0,3,1
38,778043398,7,778043397,false,542769440,1,0,2,1
17,778043404,20,778043399,false,542769445,1,0,3,1
7,778043428,28,778043403,false,542769450,1,0,3,1
17,778043416,14,778043412,false,542769451,1,0,2,1
24,778043396,18,778043411,false,542769438,1,0,2,1
27,778043413,24,778043422,false,542769443,1,0,2,1
20,778043394,28,778043427,false,542769439,1,0,3,1
13,778043406,27,778043400,false,542769442,1,0,3,1
21,778043409,28,778043420,false,542769446,1,0,3,1
