"awayScore","awayTeamId","homeScore","homeTeamId","isGameOfTheWeek","scheduleId","seasonIndex","stageIndex","status","weekIndex"
31,778043405,20,778043409,false,542769460,1,0,2,0
14,778043404,17,778043396,false,542769466,1,0,3,0
14,778043397,27,778043394,false,542769484,1,0,3,0
33,778043427,14,778043412,false,542769459,1,0,2,0
17,778043411,21,778043395,false,542769467,1,0,3,0
10,778043422,21,778043425,false,542769454,1,0,3,0
31,778043418,7,778043424,false,542769455,1,0,2,0
21,778043400,24,778043421,false,542769456,1,0,3,0
31,778043426,10,778043407,false,542769462,1,0,2,0
3,778043406,35,778043398,false,542769465,1,0,3,0
24,778043423,17,778043428,false,542769453,1,0,2,0
19,778043399,20,778043413,false,542769458,1,0,3,0
17,778043417,22,778043402,false,542769463,1,0,3,0
31,778043419,10,778043416,false,542769457,1,0,2,0
21,778043403,24,778043401,false,542769464,1,0,3,0
17,778043420,38,778043392,false,542769461,1,0,3,0
