"awayScore","awayTeamId","homeScore","homeTeamId","isGameOfTheWeek","scheduleId","seasonIndex","stageIndex","status","weekIndex"
17,778043401,23,778043392,false,542769420,1,0,3,3
20,778043417,28,778043406,false,542769416,1,0,3,3
13,778043407,28,778043427,false,542769410,1,0,3,3
38,778043409,13,778043419,false,542769407,1,0,2,3
16,778043395,17,778043428,false,542769408,1,0,3,3
24,778043425,23,778043399,false,542769409,1,0,2,3
20,778043421,0,778043418,false,542769411,1,0,2,3
17,778043398,24,778043403,false,542769412,1,0,3,3
20,778043397,36,778043411,false,542769414,1,0,3,3
21,778043412,31,778043402,false,542769419,1,0,3,3
10,778043400,24,778043404,false,542769406,1,0,3,3
36,778043396,32,778043423,false,542769415,1,0,2,3
17,778043426,21,778043394,false,542769417,1,0,3,3
20,778043413,7,778043416,false,542769418,1,0,2,3
24,778043422,17,778043420,false,542769405,1,0,2,3
28,778043405,20,778043424,false,542769413,1,0,2,3
